Date,Match_type,Outcome,Overs,Team A,Team B,Winner,Toss,Venue
3/12/2008,ODI,winner South Africa by wickets 7,50,Bangladesh, South Africa,Bangladesh,bat,Shere Bangla National Stadium
3/14/2008,ODI,winner South Africa by wickets 7,50,Bangladesh, South Africa,Bangladesh,bat,Shere Bangla National Stadium
6/29/2008,ODI,winner Bermuda by runs 11,50,Canada, Bermuda,Canada,field,Maple Leaf North-West Ground
8/12/2008,ODI,no result,50,Scotland, Kenya,Scotland,field,Cambusdoon New Ground
8/25/2008,ODI,no result,50,Ireland, Kenya,Kenya,field,Civil Service Cricket Club Stormont
7/29/2008,ODI,winner Scotland by wickets 6,50,Netherlands, Scotland,Netherlands,bat,Clontarf Cricket Club Ground
7/31/2008,ODI,winner Ireland by wickets 7,50,Ireland, Scotland,Ireland,field,Clontarf Cricket Club Ground
10/17/2008,ODI,winner Zimbabwe by runs 156,50,Ireland, Zimbabwe,Zimbabwe,bat,Gymkhana Club Ground
1/21/2008,ODI,winner Pakistan by runs 104,50,Pakistan, Zimbabwe,Zimbabwe,field,National Stadium
1/24/2008,ODI,winner Pakistan by wickets 5,50,Pakistan, Zimbabwe,Zimbabwe,bat,Niaz Stadium Hyderabad
1/27/2008,ODI,winner Pakistan by runs 37,50,Pakistan, Zimbabwe,Pakistan,bat,Multan Cricket Stadium
1/30/2008,ODI,winner Pakistan by wickets 7,50,Pakistan, Zimbabwe,Zimbabwe,bat,Iqbal Stadium
2/2/2008,ODI,winner Pakistan by wickets 7,50,Pakistan, Zimbabwe,Zimbabwe,bat,Sheikhupura Stadium
6/24/2008,ODI,winner Bangladesh by runs 96,50,Bangladesh, United Arab Emirates,Bangladesh,bat,Gaddafi Stadium
6/24/2008,ODI,winner Pakistan by runs 155,50,Pakistan, Hong Kong,Pakistan,bat,National Stadium
6/25/2008,ODI,winner Sri Lanka by runs 131,50,Bangladesh, Sri Lanka,Bangladesh,field,Gaddafi Stadium
6/25/2008,ODI,winner India by runs 256,50,Hong Kong, India,India,bat,National Stadium
6/26/2008,ODI,winner Sri Lanka by runs 142,50,Sri Lanka, United Arab Emirates,Sri Lanka,bat,Gaddafi Stadium
6/26/2008,ODI,winner India by wickets 6,50,Pakistan, India,Pakistan,bat,National Stadium
6/28/2008,ODI,winner India by wickets 7,50,Bangladesh, India,Bangladesh,bat,National Stadium
6/29/2008,ODI,winner Sri Lanka by runs 64,50,Pakistan, Sri Lanka,Pakistan,field,National Stadium
6/30/2008,ODI,winner Sri Lanka by runs 158,50,Bangladesh, Sri Lanka,Sri Lanka,bat,National Stadium
7/2/2008,ODI,winner Pakistan by wickets 8,50,Pakistan, India,India,bat,National Stadium
7/3/2008,ODI,winner India by wickets 6,50,India, Sri Lanka,Sri Lanka,bat,National Stadium
7/4/2008,ODI,winner Pakistan by wickets 10,50,Pakistan, Bangladesh,Bangladesh,bat,National Stadium
7/6/2008,ODI,winner Sri Lanka by runs 100,50,India, Sri Lanka,India,field,National Stadium
8/30/2008,ODI,winner Australia by runs 180,50,Australia, Bangladesh,Bangladesh,field,Marrara Cricket Ground
9/3/2008,ODI,winner Australia by wickets 8,50,Australia, Bangladesh,Bangladesh,bat,Marrara Cricket Ground
9/6/2008,ODI,winner Australia by runs 73,50,Australia, Bangladesh,Australia,bat,Marrara Cricket Ground
8/18/2008,ODI,winner Sri Lanka by wickets 8,50,Sri Lanka, India,India,bat,Rangiri Dambulla International Stadium
8/20/2008,ODI,winner India by wickets 3,50,Sri Lanka, India,India,field,Rangiri Dambulla International Stadium
8/24/2008,ODI,winner India by runs 33,50,Sri Lanka, India,India,bat,R Premadasa Stadium
8/29/2008,ODI,winner Sri Lanka by runs 112,50,Sri Lanka, India,Sri Lanka,bat,R Premadasa Stadium
4/8/2008,ODI,winner Pakistan by runs 152,50,Pakistan, Bangladesh,Pakistan,bat,Gaddafi Stadium
4/11/2008,ODI,winner Pakistan by wickets 7,50,Pakistan, Bangladesh,Bangladesh,bat,Iqbal Stadium
4/13/2008,ODI,winner Pakistan by runs 23,50,Pakistan, Bangladesh,Pakistan,bat,Gaddafi Stadium
4/16/2008,ODI,winner Pakistan by wickets 7,50,Pakistan, Bangladesh,Bangladesh,bat,Multan Cricket Stadium
4/19/2008,ODI,winner Pakistan by runs 150,50,Pakistan, Bangladesh,Pakistan,bat,National Stadium
6/8/2008,ODI,winner Pakistan by runs 70,50,Bangladesh, Pakistan,Bangladesh,field,Shere Bangla National Stadium
6/10/2008,ODI,winner India by runs 140,50,India, Pakistan,India,bat,Shere Bangla National Stadium
6/12/2008,ODI,winner India by wickets 7,50,Bangladesh, India,Bangladesh,bat,Shere Bangla National Stadium
6/14/2008,ODI,winner Pakistan by runs 25,50,India, Pakistan,Pakistan,bat,Shere Bangla National Stadium
9/4/2009,ODI,winner Australia by runs 4,50,England, Australia,England,field,Kennington Oval
9/6/2009,ODI,winner Australia by runs 39,50,England, Australia,England,field,Lord's
9/9/2009,ODI,winner Australia by wickets 6,50,England, Australia,England,bat,The Rose Bowl
9/12/2009,ODI,winner Australia by wickets 7,50,England, Australia,England,bat,Lord's
9/15/2009,ODI,winner Australia by wickets 4,50,England, Australia,England,bat,Trent Bridge
9/17/2009,ODI,winner Australia by runs 111,50,England, Australia,Australia,bat,Trent Bridge
9/20/2009,ODI,winner England by wickets 4,50,England, Australia,England,field,Riverside Ground
11/7/2008,ODI,winner South Africa by runs 61,50,South Africa, Bangladesh,South Africa,bat,Senwes Park
4/3/2009,ODI,winner Australia by runs 141,50,South Africa, Australia,Australia,bat,Kingsmead
4/5/2009,ODI,winner South Africa by wickets 7,50,South Africa, Australia,Australia,bat,SuperSport Park
4/9/2009,ODI,winner South Africa by runs 25,50,South Africa, Australia,South Africa,bat,Newlands
4/13/2009,ODI,winner South Africa by runs 61,50,South Africa, Australia,Australia,field,St George's Park
4/17/2009,ODI,winner Australia by runs 47,50,South Africa, Australia,South Africa,field,New Wanderers Stadium
1/16/2009,ODI,winner South Africa by wickets 3,50,Australia, South Africa,Australia,bat,Melbourne Cricket Ground
1/18/2009,ODI,winner Australia by runs 5,50,Australia, South Africa,South Africa,field,Bellerive Oval
1/23/2009,ODI,winner South Africa by wickets 3,50,Australia, South Africa,Australia,bat,Sydney Cricket Ground
1/26/2009,ODI,winner South Africa by wickets 8,50,Australia, South Africa,Australia,bat,Adelaide Oval
1/30/2009,ODI,winner South Africa by runs 39,50,Australia, South Africa,South Africa,bat,Western Australia Cricket Association Ground
2/1/2009,ODI,winner New Zealand by wickets 2,50,Australia, New Zealand,Australia,bat,Western Australia Cricket Association Ground
2/6/2009,ODI,winner New Zealand by wickets 6,50,Australia, New Zealand,New Zealand,field,Melbourne Cricket Ground
2/8/2009,ODI,winner Australia by runs 32,50,Australia, New Zealand,New Zealand,field,Sydney Cricket Ground
2/10/2009,ODI,winner Australia by wickets 6,50,Australia, New Zealand,New Zealand,bat,Adelaide Oval
2/13/2009,ODI,no result,50,Australia, New Zealand,New Zealand,field,Brisbane Cricket Ground Woolloongabba
3/20/2009,ODI,winner England by runs 1,50,West Indies, England,England,bat,Providence Stadium
3/22/2009,ODI,winner West Indies by runs 21,50,West Indies, England,West Indies,bat,Providence Stadium
3/27/2009,ODI,winner West Indies by wickets 8,50,West Indies, England,West Indies,field,Kensington Oval Bridgetown
3/29/2009,ODI,winner England by wickets 9,50,West Indies, England,England,field,Kensington Oval Bridgetown
4/3/2009,ODI,winner England by runs 26,50,West Indies, England,West Indies,field,Beausejour Stadium Gros Islet
10/31/2008,ODI,winner South Africa by runs 159,50,South Africa, Kenya,South Africa,bat,OUTsurance Oval
11/14/2008,ODI,winner India by runs 158,50,India, England,England,field,Madhavrao Scindia Cricket Ground
11/17/2008,ODI,winner India by runs 54,50,India, England,India,bat,Maharani Usharaje Trust Cricket Ground
11/20/2008,ODI,winner India by runs 16,50,India, England,England,bat,Green Park
11/23/2008,ODI,winner India by runs 19,50,India, England,England,field,M Chinnaswamy Stadium
11/26/2008,ODI,winner India by wickets 6,50,India, England,India,field,Barabati Stadium
8/27/2008,ODI,winner India by runs 46,50,Sri Lanka, India,India,bat,R Premadasa Stadium
3/3/2009,ODI,winner India by runs 53,50,New Zealand, India,India,bat,McLean Park
3/11/2009,ODI,winner India by runs 84,50,New Zealand, India,New Zealand,bat,Seddon Park
3/14/2009,ODI,winner New Zealand by wickets 8,50,New Zealand, India,India,bat,Eden Park
3/6/2009,ODI,no result,50,New Zealand, India,India,bat,Westpac Stadium
3/8/2009,ODI,winner India by runs 58,50,New Zealand, India,New Zealand,field,AMI Stadium
12/31/2008,ODI,no result,50,New Zealand, West Indies,New Zealand,field,Queenstown Events Centre
1/7/2009,ODI,winner New Zealand by wickets 7,50,New Zealand, West Indies,New Zealand,field,Westpac Stadium
11/12/2008,ODI,winner Pakistan by wickets 4,50,Pakistan, West Indies,West Indies,bat,Sheikh Zayed Stadium
11/14/2008,ODI,winner Pakistan by runs 24,50,Pakistan, West Indies,Pakistan,bat,Sheikh Zayed Stadium
11/20/2008,ODI,winner Sri Lanka by wickets 6,50,Zimbabwe, Sri Lanka,Sri Lanka,field,Harare Sports Club
11/22/2008,ODI,winner Sri Lanka by wickets 9,50,Zimbabwe, Sri Lanka,Zimbabwe,bat,Harare Sports Club
11/24/2008,ODI,winner Sri Lanka by runs 5,50,Zimbabwe, Sri Lanka,Zimbabwe,field,Harare Sports Club
11/30/2008,ODI,winner Sri Lanka by runs 19,50,Zimbabwe, Sri Lanka,Zimbabwe,field,Harare Sports Club
6/26/2009,ODI,winner India by runs 20,50,West Indies, India,India,bat,Sabina Park Kingston
6/28/2009,ODI,winner West Indies by wickets 8,50,West Indies, India,India,bat,Sabina Park Kingston
7/3/2009,ODI,winner India by wickets 6,50,West Indies, India,India,field,Beausejour Stadium Gros Islet
7/5/2009,ODI,no result,50,West Indies, India,India,field,Beausejour Stadium Gros Islet
1/10/2009,ODI,winner Zimbabwe by runs 38,50,Bangladesh, Zimbabwe,Bangladesh,field,Shere Bangla National Stadium
1/14/2009,ODI,winner Bangladesh by wickets 5,50,Bangladesh, Sri Lanka,Bangladesh,field,Shere Bangla National Stadium
1/23/2009,ODI,winner Bangladesh by wickets 6,50,Bangladesh, Zimbabwe,Bangladesh,field,Shere Bangla National Stadium
5/24/2009,ODI,winner England by wickets 6,50,England, West Indies,England,field,County Ground
5/26/2009,ODI,winner England by runs 58,50,England, West Indies,West Indies,field,Edgbaston
8/27/2009,ODI,winner England by runs 3,50,Ireland, England,England,bat,Civil Service Cricket Club Stormont
1/31/2009,ODI,winner Zimbabwe by wickets 4,50,Kenya, Zimbabwe,Kenya,bat,Gymkhana Club Ground
1/20/2009,ODI,winner Pakistan by wickets 8,50,Pakistan, Sri Lanka,Sri Lanka,bat,National Stadium
1/21/2009,ODI,winner Sri Lanka by runs 129,50,Pakistan, Sri Lanka,Pakistan,field,National Stadium
1/24/2009,ODI,winner Sri Lanka by runs 234,50,Pakistan, Sri Lanka,Sri Lanka,bat,Gaddafi Stadium
1/28/2009,ODI,winner India by wickets 6,50,Sri Lanka, India,India,field,Rangiri Dambulla International Stadium
1/31/2009,ODI,winner India by runs 15,50,Sri Lanka, India,India,bat,R Premadasa Stadium
2/3/2009,ODI,winner India by runs 147,50,Sri Lanka, India,India,bat,R Premadasa Stadium
2/5/2009,ODI,winner India by runs 67,50,Sri Lanka, India,India,bat,R Premadasa Stadium
2/8/2009,ODI,winner Sri Lanka by runs 68,50,Sri Lanka, India,Sri Lanka,bat,R Premadasa Stadium
11/22/2009,ODI,winner England by wickets 7,50,South Africa, England,England,field,SuperSport Park
11/27/2009,ODI,winner South Africa by runs 112,50,South Africa, England,South Africa,bat,Newlands
11/29/2009,ODI,winner England by wickets 7,50,South Africa, England,South Africa,bat,St George's Park
4/1/2009,ODI,winner Ireland by wickets 7,50,Ireland, Scotland,Ireland,field,Willowmoore Park
4/8/2009,ODI,winner Canada by runs 148,50,Canada, Scotland,Scotland,field,Willowmoore Park
4/19/2009,ODI,winner Afghanistan by runs 89,50,Afghanistan, Scotland,Afghanistan,bat,Willowmoore Park
4/22/2009,ODI,winner Pakistan by wickets 4,50,Australia, Pakistan,Australia,bat,Dubai Sports City Cricket Stadium
4/24/2009,ODI,winner Australia by wickets 6,50,Australia, Pakistan,Pakistan,bat,Dubai Sports City Cricket Stadium
4/27/2009,ODI,winner Australia by runs 27,50,Australia, Pakistan,Australia,bat,Sheikh Zayed Stadium
5/1/2009,ODI,winner Australia by wickets 8,50,Australia, Pakistan,Pakistan,bat,Sheikh Zayed Stadium
5/3/2009,ODI,winner Pakistan by wickets 7,50,Australia, Pakistan,Australia,bat,Sheikh Zayed Stadium
7/26/2009,ODI,winner Bangladesh by runs 52,50,West Indies, Bangladesh,West Indies,field,Windsor Park Roseau
7/28/2009,ODI,winner Bangladesh by wickets 3,50,West Indies, Bangladesh,West Indies,bat,Windsor Park Roseau
7/31/2009,ODI,winner Bangladesh by wickets 3,50,West Indies, Bangladesh,West Indies,bat,Warner Park Basseterre
7/30/2009,ODI,winner Sri Lanka by runs 36,50,Sri Lanka, Pakistan,Pakistan,field,Rangiri Dambulla International Stadium
8/1/2009,ODI,winner Sri Lanka by wickets 6,50,Sri Lanka, Pakistan,Sri Lanka,field,Rangiri Dambulla International Stadium
8/3/2009,ODI,winner Sri Lanka by wickets 6,50,Sri Lanka, Pakistan,Sri Lanka,field,Rangiri Dambulla International Stadium
8/7/2009,ODI,winner Pakistan by runs 146,50,Sri Lanka, Pakistan,Pakistan,bat,R Premadasa Stadium
8/9/2009,ODI,winner Pakistan by runs 132,50,Sri Lanka, Pakistan,Pakistan,bat,R Premadasa Stadium
9/8/2009,ODI,winner Sri Lanka by runs 97,50,Sri Lanka, New Zealand,Sri Lanka,bat,R Premadasa Stadium
9/12/2009,ODI,winner Sri Lanka by runs 139,50,Sri Lanka, India,Sri Lanka,bat,R Premadasa Stadium
9/11/2009,ODI,winner India by wickets 6,50,India, New Zealand,New Zealand,bat,R Premadasa Stadium
9/14/2009,ODI,winner India by runs 46,50,Sri Lanka, India,India,bat,R Premadasa Stadium
2/7/2010,ODI,winner Australia by runs 113,50,Australia, West Indies,West Indies,field,Melbourne Cricket Ground
2/9/2010,ODI,winner Australia by wickets 8,50,Australia, West Indies,West Indies,bat,Adelaide Oval
2/12/2010,ODI,no result,50,Australia, West Indies,West Indies,field,Sydney Cricket Ground
2/14/2010,ODI,winner Australia by runs 50,50,Australia, West Indies,West Indies,field,Brisbane Cricket Ground Woolloongabba
2/19/2010,ODI,winner Australia by runs 125,50,Australia, West Indies,Australia,bat,Melbourne Cricket Ground
1/22/2010,ODI,winner Australia by wickets 5,50,Australia, Pakistan,Pakistan,bat,Brisbane Cricket Ground Woolloongabba
1/24/2010,ODI,winner Australia by runs 140,50,Australia, Pakistan,Pakistan,field,Sydney Cricket Ground
1/26/2010,ODI,winner Australia by runs 40,50,Australia, Pakistan,Australia,bat,Adelaide Oval
1/29/2010,ODI,winner Australia by runs 135,50,Australia, Pakistan,Australia,bat,Western Australia Cricket Association Ground
1/31/2010,ODI,winner Australia by wickets 2,50,Australia, Pakistan,Pakistan,bat,Western Australia Cricket Association Ground
8/9/2009,ODI,winner Bangladesh by wickets 8,50,Zimbabwe, Bangladesh,Bangladesh,field,Queens Sports Club
8/11/2009,ODI,winner Bangladesh by runs 49,50,Zimbabwe, Bangladesh,Zimbabwe,field,Queens Sports Club
8/14/2009,ODI,winner Zimbabwe by runs 69,50,Zimbabwe, Bangladesh,Bangladesh,field,Queens Sports Club
8/16/2009,ODI,winner Bangladesh by wickets 4,50,Zimbabwe, Bangladesh,Zimbabwe,bat,Queens Sports Club
8/18/2009,ODI,winner Bangladesh by wickets 5,50,Zimbabwe, Bangladesh,Zimbabwe,bat,Queens Sports Club
8/19/2009,ODI,winner Canada by wickets 9,50,Canada, Kenya,Canada,field,Maple Leaf North-West Ground
9/22/2009,ODI,winner Sri Lanka by runs 55,50,South Africa, Sri Lanka,South Africa,field,SuperSport Park
9/23/2009,ODI,winner Pakistan by wickets 5,50,Pakistan, West Indies,West Indies,bat,New Wanderers Stadium
9/24/2009,ODI,winner South Africa by wickets 5,50,South Africa, New Zealand,South Africa,field,SuperSport Park
9/25/2009,ODI,winner England by wickets 6,50,England, Sri Lanka,England,field,New Wanderers Stadium
9/26/2009,ODI,winner Australia by runs 50,50,Australia, West Indies,West Indies,field,New Wanderers Stadium
9/26/2009,ODI,winner Pakistan by runs 54,50,India, Pakistan,Pakistan,bat,SuperSport Park
9/27/2009,ODI,winner New Zealand by runs 38,50,New Zealand, Sri Lanka,Sri Lanka,field,New Wanderers Stadium
9/27/2009,ODI,winner England by runs 22,50,South Africa, England,England,bat,SuperSport Park
9/28/2009,ODI,no result,50,Australia, India,Australia,bat,SuperSport Park
9/29/2009,ODI,winner New Zealand by wickets 4,50,England, New Zealand,New Zealand,field,New Wanderers Stadium
9/30/2009,ODI,winner Australia by wickets 2,50,Australia, Pakistan,Australia,field,SuperSport Park
9/30/2009,ODI,winner India by wickets 7,50,India, West Indies,India,field,New Wanderers Stadium
10/2/2009,ODI,winner Australia by wickets 9,50,Australia, England,England,bat,SuperSport Park
10/3/2009,ODI,winner New Zealand by wickets 5,50,New Zealand, Pakistan,Pakistan,bat,New Wanderers Stadium
10/5/2009,ODI,winner Australia by wickets 6,50,Australia, New Zealand,New Zealand,bat,SuperSport Park
10/25/2009,ODI,winner Australia by runs 4,50,India, Australia,Australia,bat,Reliance Stadium
10/28/2009,ODI,winner India by runs 99,50,India, Australia,Australia,field,Vidarbha Cricket Association Stadium Jamtha
10/31/2009,ODI,winner India by wickets 6,50,India, Australia,Australia,bat,Feroz Shah Kotla
11/2/2009,ODI,winner Australia by runs 24,50,India, Australia,India,field,Punjab Cricket Association Stadium Mohali
11/5/2009,ODI,winner Australia by runs 3,50,India, Australia,Australia,bat,Rajiv Gandhi International Stadium Uppal
11/8/2009,ODI,winner Australia by wickets 6,50,India, Australia,India,bat,Nehru Stadium
10/27/2009,ODI,winner Zimbabwe by wickets 5,50,Bangladesh, Zimbabwe,Zimbabwe,field,Shere Bangla National Stadium
10/29/2009,ODI,winner Bangladesh by wickets 7,50,Bangladesh, Zimbabwe,Zimbabwe,bat,Shere Bangla National Stadium
10/31/2009,ODI,winner Bangladesh by wickets 4,50,Bangladesh, Zimbabwe,Bangladesh,field,Shere Bangla National Stadium
11/3/2009,ODI,winner Bangladesh by wickets 6,50,Bangladesh, Zimbabwe,Zimbabwe,bat,Zohur Ahmed Chowdhury Stadium
11/5/2009,ODI,winner Bangladesh by wickets 1,50,Bangladesh, Zimbabwe,Bangladesh,field,Zohur Ahmed Chowdhury Stadium
2/5/2010,ODI,winner New Zealand by runs 146,50,New Zealand, Bangladesh,New Zealand,bat,McLean Park
2/8/2010,ODI,winner New Zealand by wickets 5,50,New Zealand, Bangladesh,New Zealand,field,University Oval
2/11/2010,ODI,winner New Zealand by wickets 3,50,New Zealand, Bangladesh,New Zealand,field,AMI Stadium
3/3/2010,ODI,winner New Zealand by wickets 2,50,New Zealand, Australia,Australia,bat,McLean Park
3/6/2010,ODI,winner Australia by runs 12,50,New Zealand, Australia,Australia,bat,Eden Park
3/9/2010,ODI,winner Australia by wickets 6,50,New Zealand, Australia,Australia,field,Seddon Park
3/11/2010,ODI,winner Australia by wickets 6,50,New Zealand, Australia,Australia,field,Eden Park
3/13/2010,ODI,winner New Zealand by runs 51,50,New Zealand, Australia,Australia,field,Westpac Stadium
6/17/2010,ODI,winner Australia by runs 39,50,Ireland, Australia,Australia,bat,Clontarf Cricket Club Ground
6/22/2010,ODI,winner England by wickets 4,50,England, Australia,Australia,bat,The Rose Bowl
6/24/2010,ODI,winner England by wickets 4,50,England, Australia,Australia,bat,Sophia Gardens
6/27/2010,ODI,winner England by wickets 1,50,England, Australia,England,field,Old Trafford
6/30/2010,ODI,winner Australia by runs 78,50,England, Australia,England,field,Kennington Oval
7/3/2010,ODI,winner Australia by runs 42,50,England, Australia,Australia,bat,Lord's
7/8/2010,ODI,winner England by wickets 6,50,England, Bangladesh,Bangladesh,bat,Trent Bridge
7/10/2010,ODI,winner Bangladesh by runs 5,50,England, Bangladesh,England,field,County Ground
7/12/2010,ODI,winner England by runs 144,50,England, Bangladesh,Bangladesh,field,Edgbaston
2/28/2010,ODI,winner England by wickets 6,50,Bangladesh, England,England,field,Shere Bangla National Stadium
3/2/2010,ODI,winner England by wickets 2,50,Bangladesh, England,England,field,Shere Bangla National Stadium
3/5/2010,ODI,winner England by runs 45,50,Bangladesh, England,Bangladesh,field,Zohur Ahmed Chowdhury Stadium
9/10/2010,ODI,winner England by runs 24,50,England, Pakistan,Pakistan,field,Riverside Ground
9/12/2010,ODI,winner England by wickets 4,50,England, Pakistan,Pakistan,bat,Headingley
9/17/2010,ODI,winner Pakistan by runs 23,50,England, Pakistan,Pakistan,bat,Kennington Oval
9/20/2010,ODI,winner Pakistan by runs 38,50,England, Pakistan,Pakistan,bat,Lord's
9/22/2010,ODI,winner England by runs 121,50,England, Pakistan,England,bat,The Rose Bowl
11/3/2009,ODI,winner Pakistan by runs 138,50,New Zealand, Pakistan,Pakistan,bat,Sheikh Zayed Stadium
11/6/2009,ODI,winner New Zealand by runs 64,50,New Zealand, Pakistan,New Zealand,bat,Sheikh Zayed Stadium
11/9/2009,ODI,winner New Zealand by runs 7,50,New Zealand, Pakistan,New Zealand,bat,Sheikh Zayed Stadium
11/8/2009,ODI,winner South Africa by runs 45,50,South Africa, Zimbabwe,Zimbabwe,field,Willowmoore Park
11/10/2009,ODI,winner South Africa by runs 212,50,South Africa, Zimbabwe,Zimbabwe,field,SuperSport Park
12/15/2009,ODI,winner India by runs 3,50,India, Sri Lanka,Sri Lanka,field,Madhavrao Scindia Cricket Ground
12/18/2009,ODI,winner Sri Lanka by wickets 3,50,India, Sri Lanka,India,bat,Vidarbha Cricket Association Stadium Jamtha
12/21/2009,ODI,winner India by wickets 7,50,India, Sri Lanka,Sri Lanka,bat,Barabati Stadium
12/24/2009,ODI,winner India by wickets 7,50,India, Sri Lanka,Sri Lanka,bat,Eden Gardens
12/27/2009,ODI,no result,50,India, Sri Lanka,India,field,Feroz Shah Kotla
2/19/2011,ODI,winner India by runs 87,50,Bangladesh, India,Bangladesh,field,Shere Bangla National Stadium
2/20/2011,ODI,winner New Zealand by wickets 10,50,Kenya, New Zealand,Kenya,bat,MA Chidambaram Stadium Chepauk
2/20/2011,ODI,winner Sri Lanka by runs 210,50,Sri Lanka, Canada,Sri Lanka,bat,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa
2/21/2011,ODI,winner Australia by runs 91,50,Australia, Zimbabwe,Australia,bat,Sardar Patel Stadium Motera
2/22/2011,ODI,winner England by wickets 6,50,England, Netherlands,Netherlands,bat,Vidarbha Cricket Association Stadium Jamtha
2/23/2011,ODI,winner Pakistan by runs 205,50,Kenya, Pakistan,Pakistan,bat,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa
2/24/2011,ODI,winner South Africa by wickets 7,50,South Africa, West Indies,South Africa,field,Feroz Shah Kotla
2/25/2011,ODI,winner Australia by wickets 7,50,Australia, New Zealand,Australia,field,Vidarbha Cricket Association Stadium Jamtha
2/25/2011,ODI,winner Bangladesh by runs 27,50,Bangladesh, Ireland,Bangladesh,bat,Shere Bangla National Stadium
2/26/2011,ODI,winner Pakistan by runs 11,50,Sri Lanka, Pakistan,Pakistan,bat,R Premadasa Stadium
2/27/2011,ODI,tie,50,India, England,India,bat,M Chinnaswamy Stadium
2/28/2011,ODI,winner West Indies by runs 215,50,Netherlands, West Indies,Netherlands,field,Feroz Shah Kotla
2/28/2011,ODI,winner Zimbabwe by runs 175,50,Canada, Zimbabwe,Zimbabwe,bat,Vidarbha Cricket Association Stadium Jamtha
3/1/2011,ODI,winner Sri Lanka by wickets 9,50,Sri Lanka, Kenya,Kenya,bat,R Premadasa Stadium
3/2/2011,ODI,winner Ireland by wickets 3,50,England, Ireland,England,bat,M Chinnaswamy Stadium
3/3/2011,ODI,winner South Africa by runs 231,50,Netherlands, South Africa,Netherlands,field,Punjab Cricket Association Stadium Mohali
3/3/2011,ODI,winner Pakistan by runs 46,50,Canada, Pakistan,Pakistan,bat,R Premadasa Stadium
3/4/2011,ODI,winner New Zealand by wickets 10,50,New Zealand, Zimbabwe,Zimbabwe,bat,Sardar Patel Stadium Motera
3/4/2011,ODI,winner West Indies by wickets 9,50,Bangladesh, West Indies,Bangladesh,bat,Shere Bangla National Stadium
3/5/2011,ODI,no result,50,Sri Lanka, Australia,Sri Lanka,bat,R Premadasa Stadium
3/6/2011,ODI,winner India by wickets 5,50,India, Ireland,India,field,M Chinnaswamy Stadium
3/6/2011,ODI,winner England by runs 6,50,England, South Africa,England,bat,MA Chidambaram Stadium Chepauk
3/7/2011,ODI,winner Canada by wickets 5,50,Canada, Kenya,Kenya,bat,Feroz Shah Kotla
3/8/2011,ODI,winner New Zealand by runs 110,50,New Zealand, Pakistan,New Zealand,bat,Pallekele International Cricket Stadium
3/9/2011,ODI,winner India by wickets 5,50,India, Netherlands,Netherlands,bat,Feroz Shah Kotla
3/10/2011,ODI,winner Sri Lanka by runs 139,50,Sri Lanka, Zimbabwe,Zimbabwe,field,Pallekele International Cricket Stadium
3/11/2011,ODI,winner West Indies by runs 44,50,Ireland, West Indies,Ireland,field,Punjab Cricket Association Stadium Mohali
3/11/2011,ODI,winner Bangladesh by wickets 2,50,Bangladesh, England,Bangladesh,field,Zahur Ahmed Chowdhury Stadium
3/12/2011,ODI,winner South Africa by wickets 3,50,India, South Africa,India,bat,Vidarbha Cricket Association Stadium Jamtha
3/13/2011,ODI,winner New Zealand by runs 97,50,Canada, New Zealand,Canada,field,Wankhede Stadium
3/13/2011,ODI,winner Australia by runs 60,50,Australia, Kenya,Australia,bat,M Chinnaswamy Stadium
3/14/2011,ODI,winner Pakistan by wickets 7,50,Pakistan, Zimbabwe,Zimbabwe,bat,Pallekele International Cricket Stadium
3/14/2011,ODI,winner Bangladesh by wickets 6,50,Bangladesh, Netherlands,Netherlands,bat,Zahur Ahmed Chowdhury Stadium
3/15/2011,ODI,winner South Africa by runs 131,50,Ireland, South Africa,Ireland,field,Eden Gardens
3/16/2011,ODI,winner Australia by wickets 7,50,Australia, Canada,Canada,bat,M Chinnaswamy Stadium
3/17/2011,ODI,winner England by runs 18,50,England, West Indies,England,bat,MA Chidambaram Stadium Chepauk
3/18/2011,ODI,winner Sri Lanka by runs 112,50,New Zealand, Sri Lanka,Sri Lanka,bat,Wankhede Stadium
3/18/2011,ODI,winner Ireland by wickets 6,50,Ireland, Netherlands,Ireland,field,Eden Gardens
3/19/2011,ODI,winner Pakistan by wickets 4,50,Australia, Pakistan,Australia,bat,R Premadasa Stadium
3/19/2011,ODI,winner South Africa by runs 206,50,Bangladesh, South Africa,South Africa,bat,Shere Bangla National Stadium
3/20/2011,ODI,winner Zimbabwe by runs 161,50,Kenya, Zimbabwe,Zimbabwe,bat,Eden Gardens
3/20/2011,ODI,winner India by runs 80,50,India, West Indies,India,bat,MA Chidambaram Stadium Chepauk
3/23/2011,ODI,winner Pakistan by wickets 10,50,Pakistan, West Indies,West Indies,bat,Shere Bangla National Stadium
3/24/2011,ODI,winner India by wickets 5,50,India, Australia,Australia,bat,Sardar Patel Stadium Motera
3/25/2011,ODI,winner New Zealand by runs 49,50,New Zealand, South Africa,New Zealand,bat,Shere Bangla National Stadium
3/26/2011,ODI,winner Sri Lanka by wickets 10,50,Sri Lanka, England,England,bat,R Premadasa Stadium
3/29/2011,ODI,winner Sri Lanka by wickets 5,50,Sri Lanka, New Zealand,New Zealand,bat,R Premadasa Stadium
